tsne1,tsne2,tsne3,class
18.828741,165.93924,-118.88785,inside
152.22145,-69.1963,137.58772,drink
114.89462,202.73209,74.93015,food
-173.31252,35.161934,-170.67232,inside
3.1438067,222.47221,-99.589775,outside
39.10344,-27.244934,119.50937,food
61.647568,167.35838,101.2555,food
2.2236466,34.160343,-45.313152,menu
-130.22884,13.155743,162.05351,food
-21.095448,5.130892,145.72098,food
-11.510107,37.62061,128.11227,food
37.27554,104.39403,150.91737,food
-148.6298,181.48892,45.041214,outside
208.29637,-83.69845,70.98809,food
-163.39847,-89.58644,30.164345,outside
205.18765,39.643253,98.576935,food
-44.416466,151.62975,-65.3611,inside
63.892834,138.1115,131.07513,food
-98.22677,-214.99727,56.50077,drink
-181.91243,66.46087,-4.1800733,inside
-57.162727,-26.213074,-20.53808,outside
-94.431786,186.34111,-75.970665,inside
-57.848637,74.87205,85.07686,food
-21.326473,20.14012,55.28201,inside
27.79682,8.131313,231.842,food
-82.2473,-54.859043,-50.227062,outside
4.5789194,1.8043431,10.452422,food
150.01114,164.11981,99.36352,food
-73.13245,15.558961,-24.05628,inside
-120.31694,-30.252956,181.69662,inside
-87.175316,-99.1025,-77.244736,outside
143.76,170.73582,46.669395,food
-0.04050892,-141.87787,-147.76512,outside
89.53383,-57.197647,219.97935,food
18.146317,134.85887,45.02254,food
152.48361,-24.346373,-36.958885,menu
-102.256,171.68214,39.394627,inside
125.94551,-54.069866,-155.02873,inside
-81.459625,10.729116,19.338001,inside
-153.36523,-118.24302,-4.486166,inside
3.69847,-87.399796,-161.7292,outside
112.93922,186.17038,-109.69621,inside
-144.97487,30.208595,1.2567846,inside
61.795006,-20.712292,183.76443,food
31.918447,205.0945,5.2893376,food
-107.05815,205.07388,75.40681,food
-29.974442,69.976105,-95.21136,inside
176.88594,175.07452,-42.354767,inside
18.432074,32.23668,193.29892,food
-16.472277,1.887818,84.35967,food
240.34721,59.247566,12.527627,food
248.01256,-15.78235,2.9665372,food
-108.15602,101.7771,-62.020214,inside
-84.318146,-186.70023,-140.87523,outside
8.069774,-2.3793304,171.92293,food
14.549001,59.60678,231.65178,food
29.966833,-30.642143,159.9341,food
-114.75634,140.81723,-89.52756,inside
181.06111,-7.5925655,175.07681,food
-13.442732,184.38869,85.09151,food
-5.503257,115.84074,209.5447,food
-79.45208,72.22251,162.4411,food
160.56288,-81.51633,92.783226,drink
91.9018,114.23517,134.67897,food
-54.025677,101.59168,140.63014,food
164.68513,46.660114,83.677284,food
74.59834,52.080833,180.75986,food
-32.79449,-17.791283,15.519611,drink
6.517215,-55.400097,92.51911,drink
-200.30756,-52.826412,-126.61809,inside
-34.07818,58.402004,50.724598,food
-183.80753,153.57822,71.27316,inside
-176.93832,28.67105,-17.065342,inside
-97.12475,45.777313,-133.69374,inside
-18.622198,30.344757,222.67223,food
55.780098,184.91086,151.42036,food
-131.92444,139.49083,-48.779503,inside
-44.76948,40.407364,171.86664,food
-172.77992,82.47182,18.12456,inside
4.1926064,99.26896,125.65339,food
-104.643814,83.77829,79.085045,inside
175.18747,72.78818,128.36493,food
-29.360115,66.51799,-136.49101,inside
56.839287,85.26896,34.46819,food
40.36085,16.513731,167.89755,food
127.575714,204.64375,-48.93207,inside
-70.96994,115.378716,-51.208572,inside
-70.3456,-153.89822,-57.177425,inside
42.772263,76.26741,124.94647,food
189.90549,140.48521,67.31186,food
-129.95906,57.327667,148.44672,food
52.16435,205.74437,-120.27441,outside
77.41747,174.09206,57.1411,food
65.53904,157.48361,-1.7878271,food
-105.68415,-92.05784,-8.7281685,inside
-29.447334,117.02663,107.82281,food
124.604485,212.89357,15.908422,food
104.690674,176.55605,-12.471189,food
27.177107,88.03373,92.32008,food
144.11543,125.91363,66.044624,food
-74.573166,88.99248,48.867348,inside
-33.919865,238.90446,-60.391026,outside
151.39156,-118.21047,137.52522,drink
58.32162,129.59337,39.10623,food
-69.705246,158.10449,-180.58716,inside
-89.6924,3.6846845,82.11104,inside
-24.899843,-16.955847,56.47711,drink
-128.9668,44.44112,-103.43088,inside
110.21299,117.45969,99.737976,food
9.394502,159.51346,187.75221,food
-167.66777,134.12132,-88.08309,inside
18.69853,29.686108,146.20273,food
67.56756,-70.60098,173.10667,food
-140.97108,-30.971266,75.99569,inside
104.36609,168.48364,121.906746,food
40.362312,51.883244,161.9484,food
97.63153,130.16595,40.92145,food
113.892715,-158.53839,46.90086,drink
14.299906,58.536972,142.97844,food
116.70636,-151.24411,100.84712,drink
-98.082634,79.50835,121.76159,food
-146.40791,-51.699215,-63.57473,inside
-40.605785,99.25439,-161.3946,inside
175.74957,73.872,-38.56842,menu
-108.858055,87.91251,-96.8773,inside
97.90139,167.44029,-60.525375,inside
99.839676,24.076057,106.1618,food
-160.8275,37.99938,36.722374,inside
-41.689484,194.60857,-70.39903,inside
-44.575073,162.32596,123.902504,food
174.95294,-29.386713,127.704575,food
194.69038,107.674225,-76.30027,food
2.0918434,196.40657,-49.82203,outside
-129.03592,-25.76083,-83.56441,inside
213.14319,13.7637,22.053888,food
64.8132,98.789665,104.00926,food
52.670826,0.13892247,140.00453,food
3.523536,176.51472,33.68213,food
-214.1927,-62.29986,94.88383,inside
-60.05765,236.63774,57.469727,food
88.56575,-78.83095,-48.675842,menu
-25.497164,128.85786,-198.86832,outside
1.637196,100.06633,169.16504,food
-73.86492,31.432922,232.18153,food
-73.970604,128.77922,-91.68183,inside
213.30956,59.11111,54.66255,food
130.94315,46.18845,123.75752,food
-98.35603,-43.77252,-14.92673,inside
176.35442,40.351334,36.411255,food
89.00945,-11.816576,121.295944,food
-33.373558,165.09354,12.33648,food
65.07473,-12.368775,94.02279,food
23.66701,-73.72803,175.59683,food
-132.83694,-68.08113,-192.57846,outside
-176.04753,-133.32082,60.864014,drink
-13.497081,200.26662,-4.3450456,food
-173.00789,35.498756,-75.816956,inside
77.79105,31.390379,139.555,food
39.797256,104.624794,223.90811,food
-51.289894,100.73512,-15.185103,inside
-17.655416,68.64408,-181.94292,outside
-50.14811,190.05113,161.39465,food
-88.043526,190.95903,124.42751,food
-53.615883,143.06451,-24.556988,inside
81.53358,-199.02863,-80.646645,inside
-119.28744,104.825874,158.8469,food
-1.779851,152.57748,110.33035,food
132.37494,21.88903,176.09608,food
-60.1209,156.01584,47.676075,food
-138.90332,164.98277,93.95848,food
137.94904,-26.811361,161.82103,food
-33.187252,113.48872,-77.94881,inside
29.672935,156.06973,77.58461,food
-41.088615,92.118965,236.69765,food
78.907295,208.03833,-75.965706,food
164.78911,-95.83917,49.472664,drink
-32.207367,-95.40806,131.59119,drink
148.34122,159.95743,-81.94004,food
-88.35704,140.23016,182.86046,food
-21.721586,-160.57915,48.21936,drink
-175.0875,36.98844,141.56468,inside
14.611249,105.45791,-178.46417,inside
7.2334714,19.069603,104.826904,food
-67.10491,-102.380196,-149.62933,outside
56.658894,-78.85088,35.428265,drink
138.22104,137.31973,148.06863,food
68.66593,94.06972,175.72491,food
-177.7373,121.540634,38.416313,inside
50.158085,186.18745,-36.78308,food
-60.435707,189.29323,77.77519,food
84.61871,78.42972,227.43808,food
-11.595537,20.063057,-172.05695,outside
-103.17345,223.81862,21.072485,inside
-123.55283,96.10492,41.14464,inside
73.360565,-160.8527,30.925539,drink
3.261636,-107.8228,-7.8438883,drink
-57.55198,35.699337,-0.7899388,inside
12.629828,-121.226616,100.158226,drink
-145.25537,-62.42171,-4.509775,inside
56.831913,53.082195,108.492905,food
72.146416,229.4776,52.148712,food
44.360386,167.46574,31.60037,food
-109.97822,-138.15453,-75.50071,inside
-227.19579,19.815454,-5.391167,outside
58.063038,-60.52109,134.33844,food
84.686516,9.99801,173.68402,food
-49.47898,142.2616,86.51999,food
40.58799,103.38837,63.207855,food
-152.11232,105.23106,75.193504,inside
-26.775412,8.97019,188.06403,food
56.861496,35.415478,210.27734,food
-173.17711,-2.6023405,170.5176,inside
10.202221,-77.41056,-111.85971,outside
-1.1050868,-47.677155,-163.01357,outside
155.92766,-130.36461,-133.98679,outside
80.93917,222.69397,-26.022764,food
-201.81596,-4.054819,-148.72499,inside
-119.24294,-79.89693,193.82283,drink
-33.687843,-210.2956,-33.66836,drink
213.8932,-5.3820553,116.73859,food
51.558033,-113.06141,52.50984,drink
-100.43405,116.42367,-169.12039,inside
-80.6588,-175.9741,119.87239,drink
37.493397,232.19872,-61.076702,inside
-28.1139,-36.486504,89.46476,food
216.15025,-30.185652,40.498016,drink
201.13332,145.14464,0.069047615,food
-1.3969567,34.6665,162.09654,food
33.18507,200.5454,59.462242,food
147.95961,12.47766,51.401695,food
8.912931,236.88591,77.00874,food
-8.4108715,245.07608,24.851324,inside
180.23709,5.6711683,-76.75214,inside
182.23462,82.27311,16.609241,food
-40.83671,5.8956447,110.142746,food
-80.83195,135.62103,136.17546,food
121.21341,6.5609975,137.89139,food
24.016945,196.31639,108.12162,food
-4.712691,-74.722145,229.87062,food
205.72125,92.79334,93.32594,food
117.78204,-103.05112,109.31004,food
92.42486,-117.25186,-194.23666,inside
-48.157173,103.05797,183.8732,food
-1.4354528,186.73418,145.29716,food
-18.702505,151.58653,60.31967,food
-62.78188,42.19246,-44.965115,inside
110.40733,-140.54636,-149.58408,inside
168.04901,87.050644,61.2352,food
-135.33351,56.445442,196.4642,food
151.49863,96.86587,-10.923475,menu
-162.21324,-4.747558,-75.86086,inside
-231.25221,-76.25468,-13.794897,inside
15.822764,13.777354,67.14013,food
71.13887,127.810165,78.429695,food
-62.109325,1.3254839,51.956444,food
217.80415,106.817566,37.68506,food
77.19447,-5.396897,224.41853,food
0.5386535,154.3645,-72.31314,inside
-33.43224,217.62003,111.20914,food
35.066753,181.29533,-79.02102,inside
-57.463192,36.0413,36.562904,inside
-151.84245,-26.534803,135.625,drink
108.88155,153.06493,75.1431,food
-153.51631,-115.66055,-123.0966,outside
66.382416,72.16778,148.71634,food
-77.36228,-2.0720174,118.63329,food
-196.08682,11.097256,3.4381254,inside
-4.8065133,64.66789,190.87138,food
84.42798,-31.664305,153.27782,food
133.92967,147.99905,-37.15342,food
-53.823997,25.46274,139.05415,food
208.7817,43.488377,148.61714,food
13.274741,55.982395,103.31084,food
-83.72445,123.77672,57.53724,inside
37.658424,30.946226,128.0333,food
-68.28154,-55.517765,-2.1746473,inside
-39.52289,106.044,64.79865,food
9.466196,-19.135311,96.579285,food
-40.405483,-205.31943,-121.54742,outside
-122.18431,-129.87978,-36.282974,drink
-92.11498,-98.79579,-199.74753,outside
-11.381305,82.33581,85.03049,food
-215.00494,103.14758,68.873184,inside
157.29855,-73.03043,185.05875,food
-60.732327,59.164223,124.1223,food
-41.20426,35.641293,79.64297,food
-48.56649,-116.72972,-9.378866,drink
43.428146,-66.37536,218.94196,food
43.025856,14.584982,96.238914,food
-73.78576,-213.35371,10.79528,drink
32.047405,131.92073,-91.97288,inside
110.11832,37.999786,213.83833,food
32.58025,124.89194,108.055664,food
-28.02956,44.23506,91.246216,food
79.05737,196.89474,17.289892,food
131.8842,86.20312,139.22736,food
-83.073,54.62036,55.486504,inside
-70.78146,213.44446,-114.21254,inside
110.23288,79.422966,-84.069176,inside
90.34329,52.82238,107.8034,food
-136.38547,102.96658,-6.8920937,inside
94.57529,-195.94492,10.693536,drink
9.199801,-29.301464,253.4591,food
163.14972,-115.584465,6.940034,drink
-35.12844,-39.26879,-182.55745,outside
37.703384,-133.1904,-67.63956,outside
-18.20484,129.8117,146.15375,food
-99.54863,-51.674202,54.75506,inside
131.55147,92.42296,177.95447,food
-127.297005,154.11615,142.96362,food
-43.288887,-188.52434,135.22787,drink
-166.39847,125.553604,-21.012724,inside
-235.15834,-41.827854,53.462807,inside
-24.041298,206.25203,46.27381,food
-21.008053,185.92654,-110.56503,inside
188.33894,-39.60057,82.60282,food
-22.195154,-25.262552,125.83437,food
-114.57092,-4.3612776,126.575,drink
119.21034,-178.27544,-118.18771,drink
-72.94361,108.61721,100.632576,food
-172.35258,124.376854,115.36656,inside
-27.531162,76.04044,117.26384,food
28.9273,-31.65082,206.0742,food
2.035219,140.99951,7.150608,outside
-23.376137,71.86778,155.03241,food
-180.28502,57.149757,-120.22841,outside
-145.91698,-1.345153,-39.041004,inside
-0.46447465,-167.64989,167.68489,drink
153.50294,171.43884,2.3824759,food
-23.466408,-71.293724,187.2572,food
-85.373245,77.88461,-162.57549,inside
2.0000212,-42.642536,58.113964,menu
-153.73059,-110.63328,156.53732,drink
-184.67755,-52.88463,-40.29223,inside
25.072433,146.89844,145.1313,food
-182.46196,-69.774445,133.97137,food
161.29936,58.24187,177.60898,food
36.65738,76.19686,189.98317,food
51.028896,136.27957,185.07475,food
-53.793354,129.97853,16.371675,inside
-78.90245,-20.32927,221.08923,food
125.80932,-15.322052,208.06406,food
-42.792995,104.0798,-118.37869,inside
48.28799,247.19005,7.8986063,food
-129.44191,4.1493216,-106.61537,inside
-98.962654,119.689285,-17.926083,inside
163.47069,116.857605,112.15589,food
236.31297,-26.115011,-51.0272,inside
-144.70274,201.2001,-2.67594,inside
-36.254356,-7.647039,242.19943,food
105.03394,50.76014,162.37242,food
-123.29939,72.37322,-30.185295,inside
-212.35562,89.43609,-90.01222,inside
-241.67354,-27.902838,2.4118102,inside
-90.2007,34.51573,185.50208,food
-127.69494,55.546265,-68.64414,inside
-65.94192,-153.1002,170.11525,drink
-38.134323,147.22,181.98363,food
-51.509876,62.178272,205.35701,food
-13.12789,-27.404318,208.22305,food
-146.26317,-40.44962,28.966312,inside
69.84447,214.49786,103.86985,food
188.14214,-80.22721,-128.89867,inside
-200.30745,-3.8735907,32.585743,inside
-52.52771,187.60397,-27.544996,inside
-101.26182,40.995354,4.742022,inside
17.149157,-84.10288,68.85349,drink
166.36588,22.274097,136.27118,food
-101.96126,-38.64881,140.48082,food
-180.1026,162.55391,5.279355,inside
-219.46326,34.392128,-96.12117,inside
-159.72363,-6.037077,5.164541,inside
-96.23091,90.4719,204.2712,food
1.9051882,119.389275,79.837135,food
-202.47165,-122.41464,14.02635,outside
-164.64482,-53.471188,181.68892,food
-14.601786,159.90721,-31.975266,inside
-97.18363,-31.102156,22.703196,inside
239.8619,26.04978,-28.816813,outside
-158.30197,-182.89104,-36.616623,drink
136.41946,78.596146,100.38984,food
95.36902,150.05699,172.46701,food
14.63041,1.3462174,134.38402,food
-131.33827,75.281876,-138.47058,inside
62.921463,-128.41426,-145.93613,outside
-57.395782,-70.406166,-99.601585,outside
-104.44643,-15.619236,54.0054,inside
-20.675285,-126.75803,169.58472,drink
-133.06218,-69.09087,56.62349,inside
-129.98093,14.353503,-67.28023,inside
71.86744,-174.73549,-138.75687,outside
5.2824793,-12.100589,-188.24493,outside
163.52531,50.932125,-129.33434,outside
-153.70691,-2.9420192,43.230415,inside
-41.614838,90.83405,26.100794,inside
17.668848,-181.94937,87.7327,drink
-110.922386,-65.03932,15.08494,inside
-136.96115,-82.679665,-41.400627,inside
215.12547,-83.019775,-86.09249,inside
-206.94109,112.154945,0.8217301,inside
-186.35281,13.266386,57.71627,inside
-19.562237,8.589165,-252.98601,outside
-131.5679,125.85068,-131.60048,inside
-149.38345,92.25508,-101.45082,inside
-191.64677,-27.272171,-5.4199805,outside
45.87634,142.24109,-189.36989,inside
-8.231551,-187.56256,60.045315,drink
-24.517202,-107.25803,-125.82773,outside
20.67106,-89.02442,111.07691,drink
-58.931538,-17.152548,81.5852,drink
1.9539716,104.035774,-97.80547,inside
-88.96183,72.213005,-121.3658,inside
2.374352,119.290344,-137.21817,inside
7.4301753,83.117226,-139.47882,inside
5.973862,-188.95801,23.427574,drink
-103.370125,-35.746265,95.01143,drink
-180.76347,103.940605,-137.06596,inside
-87.60954,-11.048703,-11.587217,inside
170.22418,129.478,-112.763435,inside
-85.80458,-66.97545,-171.09496,outside
72.21668,-111.64638,148.11253,drink
23.323515,165.93098,-12.563257,inside
-108.20274,80.73175,6.463136,inside
-166.33296,35.04423,88.10613,inside
-53.29986,233.6151,-9.259427,outside
-144.10876,185.3083,-49.709084,inside
-186.81699,96.91092,-47.809593,inside
-231.30421,72.51638,21.638475,inside
-82.70354,78.85514,-28.000362,inside
-168.97624,89.25203,151.65881,inside
-181.38928,-32.335007,55.824238,inside
-90.24964,62.099297,-63.81755,inside
-12.760809,152.09023,-160.01219,inside
-172.41275,-74.75353,72.63948,inside
-178.30936,72.25677,60.79942,inside
-60.214634,-139.18408,-198.37915,outside
150.324,99.700096,-154.22919,inside
-146.6104,-34.622623,-29.196442,inside
165.82994,-154.13545,40.628975,drink
-12.523007,-6.0597563,-54.129684,inside
-12.063826,-150.88632,86.153694,drink
4.394725,239.74771,-24.304895,outside
97.14883,3.5304344,-231.97252,outside
-198.43135,-56.01703,27.11665,inside
-126.84838,-21.474192,0.98017114,inside
-58.002865,37.794086,-113.598434,inside
-124.72986,-103.92877,26.80657,inside
-57.12858,-81.33544,-232.38443,outside
25.944912,-126.27838,159.5353,drink
25.4481,-109.13987,-134.70036,outside
-163.10884,74.389435,-79.036095,inside
82.44743,169.83922,-154.90344,inside
-141.46474,-65.057884,-107.08646,outside
128.68622,-31.222443,117.70564,drink
-212.52744,51.802044,-44.514133,inside
111.810905,-58.12994,180.2261,drink
-124.266205,56.633625,31.89653,inside
75.90428,-142.18652,-103.57958,drink
-72.56681,-123.376595,27.995205,drink
-102.52617,164.9771,-137.7013,inside
-138.05554,133.40099,20.189804,inside
-13.124705,-16.378857,-200.66397,outside
-251.15242,20.604414,-51.546642,inside
-101.601616,25.846003,49.811703,outside
81.63428,-154.19308,119.05661,drink
116.2689,-60.885826,102.80106,drink
-48.789593,-185.2887,84.43074,drink
-153.92896,61.911423,-9.636479,inside
-109.3888,-23.278208,-44.100807,inside
-98.99411,33.726917,-93.11939,inside
-40.029102,-122.48844,92.9023,drink
-91.49807,228.44809,-52.8042,inside
-49.24134,-59.179024,-30.925692,inside
-92.14954,153.94344,91.645355,inside
-198.2994,41.42645,16.359758,inside
-183.9272,-80.41161,-2.8671875,outside
-145.80226,91.87736,-180.52245,inside
-193.22084,150.77448,-50.168877,inside
-96.037094,33.230064,137.1687,drink
-116.6449,10.305476,-17.346975,inside
54.329945,-116.2752,109.286026,drink
-99.722496,39.88296,-31.131973,inside
-143.9446,39.18033,-37.728203,inside
-6.4845276,-92.58431,149.73882,drink
-120.74905,7.4711723,22.920555,inside
-44.611774,-37.68667,41.461407,drink
-126.92215,-168.56851,-10.654559,drink
0.16866057,-154.51303,-195.11119,outside
-67.99157,85.114075,-87.39766,inside
60.511135,91.77776,-162.1392,outside
-21.808035,142.09842,-108.6896,inside
7.207578,-37.517185,-124.75069,outside
-22.785084,-158.13924,-112.0006,outside
-178.10161,-166.09723,17.428535,inside
-176.31866,8.738946,-113.864075,inside
-216.97865,2.5640073,91.82376,inside
-55.70128,-144.96332,59.715305,drink
-181.04195,-41.139706,-86.413,outside
-18.328894,-57.064102,-94.80338,outside
-140.27339,179.15938,-102.167656,inside
205.17596,-126.58638,46.802193,drink
